"FACULTAD DE CIENCIAS FÍSICO MATEMATICAS Y NATURALES","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FACULTAD DE PSICOLOGÍA ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARRERA","NIVEL","OCD N.° ","OCS N.° ","RESOLUCIÓN MINISTERIAL N.° ","","OBSERVACIONES","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN PSICOLOGÍA","GRADO","OCD N.º 1/15 Y 12/14","OCS N.º 14/15 Y 24/14","RESOLUCIÓN MINISTERIAL N.° 3549/17","RES. CONEAU N.° 528/17","","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN PSICOMOTRICIDAD","GRADO"," OCD N.º 3/16 Y 2/18","OCS N.º 50/16 Y 54/18","RESOLUCIÓN MINISTERIAL N.°  1876/20","","","","","","","","","","","","","","","","","","","","","",""
"PROFESORADO EN PSICOLOGÍA","GRADO ","OCD N.º 2/07","OCS N.º 9/08","RESOLUCIÓN MINISTERIAL N.° 334/09","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INSTITUTO POLITÉCNICO Y ARTÍSTICO UNIVERSITARIO ""MAURICIO AMÍLCAR LÓPEZ""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARRERA","NIVEL","OCD N.° ","OCS N.° ","RESOLUCIÓN MINISTERIAL N.° ","","OBSERVACIONES","","","","","","","","","","","","","","","","","","","",""
"TEC. UNIVERSITARIA EN ADMINISTRACION Y GESTION JUDICIAL","PREGRADO","","OCS N.° 15/2018","RESOLUCIÓN MINISTERIAL N.° 1414/2020","","","","","","","","","","","","","","","","","","","","","",""
"TEC. EN ADM. Y GESTION DE INSTITUCIONES UNIVERSITARIAS","PREGRADO","","OCS N.° 49/2018","RESOLUCION MINISTERIAL N.° 1987/2020","","","","","","","","","","","","","","","","","","","","","",""
"TEC. UNIV. EN GESTION DE ORGANIZACIONES DEPORTIVAS","PREGRADO","","OCS N.° 1/2018","RESOLUCION MINISTERIAL N.° 28/2022","","","","","","","","","","","","","","","","","","","","","",""
"TEC. UNIV. EN SECRETARIADO EJECUTIVO","PREGRADO","","OCS N.° 18/2016","RESOLUCIÓN MINISTERIAL N.° 1941/2017","","","","","","","","","","","","","","","","","","","","","",""
