"FACULTAD DE CIENCIAS FÍSICO MATEMATICAS Y NATURALES","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TECNICATURA UNIVERSITARIA EN REDES DE COMPUTADORAS","PREGRADO","OCD N.° 12/15","OCS N.° 28/15","RESOLUCIÓN MINISTERIAL N.° 212/05","","RM MENCIONA OCD 7/4 Y OCS 33/04 (BAJAR LOS PDF)","","","","","","","","","","","","","","","","","","","",""
"TECNICATURA UNIVERSITARIA EN TELECOMUNICACIONES","PREGRADO","OCD N.° 16/13","OCS N.° 39/13","RESOLUCIÓN MINISTERIAL N.° 178/15","","RM MENCIONA LAS OCS N.° 22/12 Y 23/10 TENGO PDF DE LAS QUE MENCIONA","","","","","","","","","","","","","","","","","","","",""
"TECNICATURA UNIVERISTARIA EN TELEDETECCIÓN (T-SIG.)","PREGRADO","OCD N.° 13/22","OCS N.° 54/22","RESOLUCIÓN MINISTERIAL N.° 1174/23","","","","","","","","","","","","","","","","","","","","","",""
"TECNICATURA UNIVERSITARIA WEB","PREGRADO","OCD N.° 8/13","OCS N.° 29/13","RESOLUCIÓN MINISTERIAL N.° 715/21","","RM MENCIONA OCS18/20 Y OCD-3/20 FALTA PDF 18/20","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FACULTAD DE CIENCIAS HUMANAS","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARRERA","NIVEL","OCD N.° ","OCS N.° ","RESOLUCIÓN MINISTERIAL N.° ","","OBSERVACIONES","","","","","","","","","","","","","","","","","","","",""
"PROFESORADO UNIVERSITARIO EN LETRAS","GRADO","OCD N.° 5/25","OCS N.º 36/25","RESOLUCIÓN MINISTERIAL N.º 225/17","","FALTA LA OCD N.º 9/15. TIENE MODIFICACIONES Y RECTIFICACIONES ","","","","","","","","","","","","","","","","","","","",""
"PROFESORADO DE EDUCACIÓN ESPECIAL","GRADO","OCD N.º 13/00 ","OCS N.º 36/01","RESOLUCIÓN MINISTERIAL N.º 569/02","DISP. 1441/06","FALTA PDF DE RM Y LA OCD N.º 3/05 QUE ES UNA RECTIFICATORIA (ESTAN EN PAPEL)","","","","","","","","","","","","","","","","","","","",""
"PROFESORADO EN EDUCACIÓN INICIAL","GRADO","OCD N.º 11/09","OCS N.º 33/09","RESOLUCIÓN MINISTERIAL N.º 1198/10","","","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN EDUCACIÓN INICIAL","GRADO","OCD N.º 10/11","OCS N.º 2/12","RESOLUCIÓN MINISTERIAL N.º 420/13","","","","","","","","","","","","","","","","","","","","","",""
"PROFESORADO EN CIENCIAS DE LA EDUCACIÓN","GRADO","OCD N.º 20/99 Y 12/04","OCS N.º 2/00 Y 37/04","RESOLUCIÓN MINISTERIAL N.º 1374/05","DISP. 1876/13","FALTA PDF DE LA OCD N.º 12/04 (ESTAN EN PAPEL)","","","","","","","","","","","","","","","","","","","",""
